,Dataset,Frame,Synthesized View,X.passes,WS.PSNR,CEL,theo_time,p1,p2,p3
1,ClassroomVideo,20,1,1,12.4973,-0.05558584923133914,134.975,1,0,0
2,ClassroomVideo,20,1,1,12.8964,-0.04978763369265059,142.678,2,0,0
3,ClassroomVideo,20,1,1,33.4884,0.0942026050214757,143.185,3,0,0
4,ClassroomVideo,20,1,1,33.5003,0.09414960388306184,143.392,4,0,0
5,ClassroomVideo,20,1,1,33.4936,0.09306123574970517,144.997,5,0,0
6,ClassroomVideo,20,1,1,33.4821,0.09196332953623051,146.603,6,0,0
7,ClassroomVideo,20,1,1,33.4535,0.08877092502292926,151.553,7,0,0
8,ClassroomVideo,20,1,2,12.8953,-0.04979534336057416,142.678,1,2,0
9,ClassroomVideo,20,1,2,33.3002,0.09288822153158499,143.185,1,3,0
10,ClassroomVideo,20,1,2,33.3105,0.09282595960723052,143.392,1,4,0
11,ClassroomVideo,20,1,2,33.3041,0.09175431215818257,144.997,1,5,0
12,ClassroomVideo,20,1,2,33.2955,0.09069050428708823,146.603,1,6,0
13,ClassroomVideo,20,1,2,33.2693,0.08755550863394325,151.553,1,7,0
14,ClassroomVideo,20,1,2,33.3511,0.093243705695429,143.185,2,3,0
15,ClassroomVideo,20,1,2,33.3599,0.09317046976121404,143.392,2,4,0
16,ClassroomVideo,20,1,2,33.3531,0.09209225018448655,144.997,2,5,0
17,ClassroomVideo,20,1,2,33.3666,0.09117548754118263,146.603,2,6,0
18,ClassroomVideo,20,1,2,33.3412,0.08802993012345517,151.553,2,7,0
19,ClassroomVideo,20,1,2,33.4931,0.0940993918768132,143.392,3,4,0
20,ClassroomVideo,20,1,2,33.4932,0.09305847707193943,144.997,3,5,0
21,ClassroomVideo,20,1,2,33.4999,0.09208474587832442,146.603,3,6,0
22,ClassroomVideo,20,1,2,33.4979,0.08906389183981843,151.553,3,7,0
23,ClassroomVideo,20,1,2,33.5004,0.09310813327172285,144.997,4,5,0
24,ClassroomVideo,20,1,2,33.5071,0.09213385810658718,146.603,4,6,0
25,ClassroomVideo,20,1,2,33.505,0.08911074013711377,151.553,4,7,0
26,ClassroomVideo,20,1,2,33.5004,0.09208815644973158,146.603,5,6,0
27,ClassroomVideo,20,1,2,33.4982,0.08906587134533792,151.553,5,7,0
28,ClassroomVideo,20,1,2,33.4805,0.08894908051968618,151.553,6,7,0
29,ClassroomVideo,20,1,3,12.8953,-0.049619024339141664,143.185,1,2,3
30,ClassroomVideo,20,1,3,12.8953,-0.04954739455478688,143.392,1,2,4
31,ClassroomVideo,20,1,3,12.8953,-0.04899894480575459,144.997,1,2,5
32,ClassroomVideo,20,1,3,12.8953,-0.04846217335252347,146.603,1,2,6
33,ClassroomVideo,20,1,3,12.8953,-0.04687930954847479,151.553,1,2,7
34,ClassroomVideo,20,1,3,33.3002,0.09275412854273597,143.392,1,3,4
35,ClassroomVideo,20,1,3,33.3002,0.09172741504996652,144.997,1,3,5
36,ClassroomVideo,20,1,3,33.3002,0.09072256365831528,146.603,1,3,6
37,ClassroomVideo,20,1,3,33.3002,0.0877593977024539,151.553,1,3,7
38,ClassroomVideo,20,1,3,33.3105,0.09179845100243451,144.997,1,4,5
39,ClassroomVideo,20,1,3,33.3105,0.09079282142930224,146.603,1,4,6
40,ClassroomVideo,20,1,3,33.3105,0.0878273607252908,151.553,1,4,7
41,ClassroomVideo,20,1,3,33.3041,0.09074916611529094,146.603,1,5,6
42,ClassroomVideo,20,1,3,33.3041,0.08778513127420769,151.553,1,5,7
43,ClassroomVideo,20,1,3,33.2955,0.08772838544931474,151.553,1,6,7
44,ClassroomVideo,20,1,3,33.3511,0.09310909953135463,143.392,2,3,4
45,ClassroomVideo,20,1,3,33.3511,0.09207845679565785,144.997,2,3,5
46,ClassroomVideo,20,1,3,33.3511,0.09106975982756152,146.603,2,3,6
47,ClassroomVideo,20,1,3,33.3511,0.08809525380559938,151.553,2,3,7
48,ClassroomVideo,20,1,3,33.3599,0.09213914770650429,144.997,2,4,5
49,ClassroomVideo,20,1,3,33.3599,0.09112978588432707,146.603,2,4,6
50,ClassroomVideo,20,1,3,33.3599,0.08815331930083867,151.553,2,4,7
51,ClassroomVideo,20,1,3,33.3531,0.09108340211319002,146.603,2,5,6
52,ClassroomVideo,20,1,3,33.3531,0.08810845050906282,151.553,2,5,7
53,ClassroomVideo,20,1,3,33.3666,0.08819752825744129,151.553,2,6,7
54,ClassroomVideo,20,1,3,33.4931,0.09305778740249797,144.997,3,4,5
55,ClassroomVideo,20,1,3,33.4931,0.09203836210718742,146.603,3,4,6
56,ClassroomVideo,20,1,3,33.4931,0.08903221975150606,151.553,3,4,7
57,ClassroomVideo,20,1,3,33.4932,0.09203904422146887,146.603,3,5,6
58,ClassroomVideo,20,1,3,33.4932,0.08903287958667926,151.553,3,5,7
59,ClassroomVideo,20,1,3,33.4999,0.08907708854328186,151.553,3,6,7
60,ClassroomVideo,20,1,3,33.5004,0.09208815644973158,146.603,4,5,6
61,ClassroomVideo,20,1,3,33.5004,0.08908038771914775,151.553,4,5,7
62,ClassroomVideo,20,1,3,33.5071,0.0891245966757504,151.553,4,6,7
63,ClassroomVideo,20,1,3,33.5004,0.08908038771914775,151.553,5,6,7
64,ClassroomVideo,20,2,1,14.7448,-0.03893461752176329,134.975,1,0,0
65,ClassroomVideo,20,2,1,30.7363,0.07524846157080979,142.678,2,0,0
66,ClassroomVideo,20,2,1,30.7532,0.07510004539581659,143.185,3,0,0
67,ClassroomVideo,20,2,1,30.7644,0.0750697388975675,143.392,4,0,0
68,ClassroomVideo,20,2,1,31.0778,0.07640020138347689,144.997,5,0,0
69,ClassroomVideo,20,2,1,31.2311,0.07660893706131526,146.603,6,0,0
70,ClassroomVideo,20,2,1,31.1817,0.07378078955876821,151.553,7,0,0
71,ClassroomVideo,20,2,2,30.7557,0.0753844320778256,142.678,1,2,0
72,ClassroomVideo,20,2,2,30.7724,0.07523413765408389,143.185,1,3,0
73,ClassroomVideo,20,2,2,30.7828,0.07519805846909174,143.392,1,4,0
74,ClassroomVideo,20,2,2,31.0971,0.07653330758567418,144.997,1,5,0
75,ClassroomVideo,20,2,2,31.2535,0.07676173066035483,146.603,1,6,0
76,ClassroomVideo,20,2,2,31.2041,0.07392859263755915,151.553,1,7,0
77,ClassroomVideo,20,2,2,30.7455,0.075046268813074,143.185,2,3,0
78,ClassroomVideo,20,2,2,30.7489,0.07496164360633786,143.392,2,4,0
79,ClassroomVideo,20,2,2,31.0553,0.07624502575915362,144.997,2,5,0
80,ClassroomVideo,20,2,2,31.1699,0.0761914831210821,146.603,2,6,0
81,ClassroomVideo,20,2,2,31.168,0.07369039214004341,151.553,2,7,0
82,ClassroomVideo,20,2,2,30.7566,0.07501534255746485,143.392,3,4,0
83,ClassroomVideo,20,2,2,31.0633,0.07630019931446858,144.997,3,5,0
84,ClassroomVideo,20,2,2,31.1782,0.07624809860644052,146.603,3,6,0
85,ClassroomVideo,20,2,2,31.1761,0.07374383878907051,151.553,3,7,0
86,ClassroomVideo,20,2,2,31.0718,0.07635882121699068,144.997,4,5,0
87,ClassroomVideo,20,2,2,31.1867,0.07630607832036178,146.603,4,6,0
88,ClassroomVideo,20,2,2,31.1846,0.07379992477879026,151.553,4,7,0
89,ClassroomVideo,20,2,2,31.1997,0.07639475317694726,146.603,5,6,0
90,ClassroomVideo,20,2,2,31.1977,0.07388636318647603,151.553,5,7,0
91,ClassroomVideo,20,2,2,31.2242,0.07406121950736706,151.553,6,7,0
92,ClassroomVideo,20,2,3,30.7557,0.07511750532527849,143.185,1,2,3
93,ClassroomVideo,20,2,3,30.7557,0.07500906605668378,143.392,1,2,4
94,ClassroomVideo,20,2,3,30.7557,0.07417877611260923,144.997,1,2,5
95,ClassroomVideo,20,2,3,30.7557,0.07336616576741267,146.603,1,2,6
96,ClassroomVideo,20,2,3,30.7557,0.07096989172104809,151.553,1,2,7
97,ClassroomVideo,20,2,3,30.7724,0.07512553001562153,143.392,1,3,4
98,ClassroomVideo,20,2,3,30.7724,0.07429395090932917,144.997,1,3,5
99,ClassroomVideo,20,2,3,30.7724,0.07348007885241094,146.603,1,3,6
100,ClassroomVideo,20,2,3,30.7724,0.0710800841949681,151.553,1,3,7
101,ClassroomVideo,20,2,3,30.7828,0.07436567653123859,144.997,1,4,5
102,ClassroomVideo,20,2,3,30.7828,0.07355101873767932,146.603,1,4,6
103,ClassroomVideo,20,2,3,30.7828,0.07114870705297818,151.553,1,4,7
104,ClassroomVideo,20,2,3,31.0971,0.07569490392420346,146.603,1,5,6
105,ClassroomVideo,20,2,3,31.0971,0.07322256900226325,151.553,1,5,7
106,ClassroomVideo,20,2,3,31.2535,0.07425455121310696,151.553,1,6,7
107,ClassroomVideo,20,2,3,30.7455,0.07493793238116492,143.392,2,3,4
108,ClassroomVideo,20,2,3,30.7455,0.07410842982958267,144.997,2,3,5
109,ClassroomVideo,20,2,3,30.7455,0.07329659011070715,146.603,2,3,6
110,ClassroomVideo,20,2,3,30.7455,0.07090258853338437,151.553,2,3,7
111,ClassroomVideo,20,2,3,30.7489,0.07413187859059152,144.997,2,4,5
112,ClassroomVideo,20,2,3,30.7489,0.07331978199627565,146.603,2,4,6
113,ClassroomVideo,20,2,3,30.7489,0.07092502292927226,151.553,2,4,7
114,ClassroomVideo,20,2,3,31.0553,0.07540978015456709,146.603,2,5,6
115,ClassroomVideo,20,2,3,31.0553,0.0729467578998766,151.553,2,5,7
116,ClassroomVideo,20,2,3,31.1699,0.07370292900833371,151.553,2,6,7
