,Dataset,Frame,Synthesized View,X.passes,WS.PSNR,CEL,theo_time,p1,p2,p3
1,TechnicolorHijack,50,1,1,18.878,-0.021237530995059716,52.831,1,0,0
2,TechnicolorHijack,50,1,1,27.5017,0.027332978692395135,274.456,2,0,0
3,TechnicolorHijack,50,1,1,27.6882,0.02763501734332596,278.205,3,0,0
4,TechnicolorHijack,50,1,1,27.6521,0.02645936058533482,289.202,4,0,0
5,TechnicolorHijack,50,1,1,27.5994,0.02280034323226383,333.302,5,0,0
6,TechnicolorHijack,50,1,1,27.5435,0.014574840118244876,517.57,6,0,0
7,TechnicolorHijack,50,1,1,27.5369,0.014523448444638853,518.947,7,0,0
8,TechnicolorHijack,50,1,2,27.3785,0.026884090710350653,274.456,1,2,0
9,TechnicolorHijack,50,1,2,27.5541,0.027152998688017824,278.205,1,3,0
10,TechnicolorHijack,50,1,2,27.5196,0.026001203311180422,289.202,1,4,0
11,TechnicolorHijack,50,1,2,27.4682,0.022406706230385653,333.302,1,5,0
12,TechnicolorHijack,50,1,2,27.3653,0.014230538864308211,517.57,1,6,0
13,TechnicolorHijack,50,1,2,27.3573,0.014177363006241483,518.947,1,7,0
14,TechnicolorHijack,50,1,2,27.7348,0.02780251972466347,278.205,2,3,0
15,TechnicolorHijack,50,1,2,27.7393,0.026760879938589638,289.202,2,4,0
16,TechnicolorHijack,50,1,2,27.7273,0.02318407930345452,333.302,2,5,0
17,TechnicolorHijack,50,1,2,27.8378,0.015143458855806945,517.57,2,6,0
18,TechnicolorHijack,50,1,2,27.84,0.015107515796410809,518.947,2,7,0
19,TechnicolorHijack,50,1,2,27.6927,0.026599746889717217,289.202,3,4,0
20,TechnicolorHijack,50,1,2,27.6801,0.023042465991803228,333.302,3,5,0
21,TechnicolorHijack,50,1,2,27.7876,0.015046467144540835,517.57,3,6,0
22,TechnicolorHijack,50,1,2,27.7871,0.015005578604366146,518.947,3,7,0
23,TechnicolorHijack,50,1,2,27.6397,0.02292125459793221,333.302,4,5,0
24,TechnicolorHijack,50,1,2,27.7317,0.014938462430202677,517.57,4,6,0
25,TechnicolorHijack,50,1,2,27.7336,0.014902485224888089,518.947,4,7,0
26,TechnicolorHijack,50,1,2,27.6905,0.014858859671155591,517.57,5,6,0
27,TechnicolorHijack,50,1,2,27.6918,0.01482193750036131,518.947,5,7,0
28,TechnicolorHijack,50,1,2,27.5444,0.014537900787556339,518.947,6,7,0
29,TechnicolorHijack,50,1,3,27.3785,0.026521809457055047,278.205,1,2,3
30,TechnicolorHijack,50,1,3,27.3785,0.02551330903659034,289.202,1,2,4
31,TechnicolorHijack,50,1,3,27.3785,0.02213758093260766,333.302,1,2,5
32,TechnicolorHijack,50,1,3,27.3785,0.014256042660896107,517.57,1,2,6
33,TechnicolorHijack,50,1,3,27.3785,0.014218214962221573,518.947,1,2,7
34,TechnicolorHijack,50,1,3,27.5541,0.026120497091997975,289.202,1,3,4
35,TechnicolorHijack,50,1,3,27.5541,0.0226644304564629,333.302,1,3,5
36,TechnicolorHijack,50,1,3,27.5541,0.014595320439747275,517.57,1,3,6
37,TechnicolorHijack,50,1,3,27.5541,0.014556592484396284,518.947,1,3,7
38,TechnicolorHijack,50,1,3,27.5196,0.022560920726548295,333.302,1,4,5
39,TechnicolorHijack,50,1,3,27.5196,0.014528662789574357,517.57,1,4,6
40,TechnicolorHijack,50,1,3,27.5196,0.014490111706975858,518.947,1,4,7
41,TechnicolorHijack,50,1,3,27.4682,0.01442935255134571,517.57,1,5,6
42,TechnicolorHijack,50,1,3,27.4682,0.014391064983514694,518.947,1,5,7
43,TechnicolorHijack,50,1,3,27.3653,0.014192778838686805,518.947,1,6,7
44,TechnicolorHijack,50,1,3,27.7348,0.026745319880222128,289.202,2,3,4
45,TechnicolorHijack,50,1,3,27.7348,0.023206581418653352,333.302,2,3,5
46,TechnicolorHijack,50,1,3,27.7348,0.014944451958189229,517.57,2,3,6
47,TechnicolorHijack,50,1,3,27.7348,0.014904797599754887,518.947,2,3,7
48,TechnicolorHijack,50,1,3,27.7393,0.02322008268777265,333.302,2,4,5
49,TechnicolorHijack,50,1,3,27.7393,0.014953146434298742,517.57,2,4,6
50,TechnicolorHijack,50,1,3,27.7393,0.01491346900550538,518.947,2,4,7
51,TechnicolorHijack,50,1,3,27.7273,0.014929961164673376,517.57,2,5,6
52,TechnicolorHijack,50,1,3,27.7273,0.014890345256837403,518.947,2,5,7
53,TechnicolorHijack,50,1,3,27.8378,0.015103276442488349,518.947,2,6,7
54,TechnicolorHijack,50,1,3,27.6927,0.023080269545337255,333.302,3,4,5
55,TechnicolorHijack,50,1,3,27.6927,0.014863110303920238,517.57,3,4,6
56,TechnicolorHijack,50,1,3,27.6927,0.014823671781511404,518.947,3,4,7
57,TechnicolorHijack,50,1,3,27.6801,0.014838765770813608,517.57,3,5,6
58,TechnicolorHijack,50,1,3,27.6801,0.01479939184541003,518.947,3,5,7
59,TechnicolorHijack,50,1,3,27.7876,0.015006542093893984,518.947,3,6,7
60,TechnicolorHijack,50,1,3,27.6397,0.014760708696408217,517.57,4,5,6
61,TechnicolorHijack,50,1,3,27.6397,0.014721541891561184,518.947,4,5,7
62,TechnicolorHijack,50,1,3,27.7317,0.014898823964682327,518.947,4,6,7
63,TechnicolorHijack,50,1,3,27.6905,0.014819432427588944,518.947,5,6,7
64,TechnicolorHijack,50,2,1,18.8551,-0.021670988624103268,52.831,1,0,0
65,TechnicolorHijack,50,2,1,19.1836,-0.002974611595301256,274.456,2,0,0
66,TechnicolorHijack,50,2,1,25.2101,0.018727557017307384,278.205,3,0,0
67,TechnicolorHijack,50,2,1,26.742,0.02331242522527507,289.202,4,0,0
68,TechnicolorHijack,50,2,1,26.7328,0.02020029882808984,333.302,5,0,0
69,TechnicolorHijack,50,2,1,26.6495,0.012847537531155204,517.57,6,0,0
70,TechnicolorHijack,50,2,1,26.6257,0.012767585129117229,518.947,7,0,0
71,TechnicolorHijack,50,2,2,19.1797,-0.00298882152330428,274.456,1,2,0
72,TechnicolorHijack,50,2,2,25.1372,0.018465520030193562,278.205,1,3,0
73,TechnicolorHijack,50,2,2,26.6096,0.022854613730195504,289.202,1,4,0
74,TechnicolorHijack,50,2,2,26.6,0.01980186137496925,333.302,1,5,0
75,TechnicolorHijack,50,2,2,26.5237,0.0126044786212493,517.57,1,6,0
76,TechnicolorHijack,50,2,2,26.4988,0.012523051486953386,518.947,1,7,0
77,TechnicolorHijack,50,2,2,25.1438,0.018489243543430203,278.205,2,3,0
78,TechnicolorHijack,50,2,2,26.6576,0.023020587686115583,289.202,2,4,0
79,TechnicolorHijack,50,2,2,26.6479,0.0199455748840391,333.302,2,5,0
80,TechnicolorHijack,50,2,2,26.5672,0.012688525223641245,517.57,2,6,0
81,TechnicolorHijack,50,2,2,26.5427,0.012607645867497066,518.947,2,7,0
82,TechnicolorHijack,50,2,2,27.1582,0.024751557734732126,289.202,3,4,0
83,TechnicolorHijack,50,2,2,27.1558,0.021469418125303775,333.302,3,5,0
84,TechnicolorHijack,50,2,2,27.1924,0.013896477771122745,517.57,3,6,0
85,TechnicolorHijack,50,2,2,27.2197,0.01391221068818203,518.947,3,7,0
86,TechnicolorHijack,50,2,2,26.7413,0.020225801225315174,333.302,4,5,0
87,TechnicolorHijack,50,2,2,26.781,0.013101609444133158,517.57,4,6,0
88,TechnicolorHijack,50,2,2,26.8103,0.013123305462792927,518.947,4,7,0
89,TechnicolorHijack,50,2,2,26.7707,0.013081708754371391,517.57,5,6,0
90,TechnicolorHijack,50,2,2,26.7999,0.013103264880614014,518.947,5,7,0
91,TechnicolorHijack,50,2,2,26.6759,0.012864319477711593,518.947,6,7,0
92,TechnicolorHijack,50,2,3,19.1797,-0.002948545137578403,278.205,1,2,3
93,TechnicolorHijack,50,2,3,19.1797,-0.0028364257508592594,289.202,1,2,4
94,TechnicolorHijack,50,2,3,19.1797,-0.0024611313463465553,333.302,1,2,5
95,TechnicolorHijack,50,2,3,19.1797,-0.0015849063894738866,517.57,1,2,6
96,TechnicolorHijack,50,2,3,19.1797,-0.0015807009193617065,518.947,1,2,7
97,TechnicolorHijack,50,2,3,25.1372,0.01776336263234694,289.202,1,3,4
98,TechnicolorHijack,50,2,3,25.1372,0.015413048826589698,333.302,1,3,5
99,TechnicolorHijack,50,2,3,25.1372,0.00992561392661862,517.57,1,3,6
100,TechnicolorHijack,50,2,3,25.1372,0.00989927680476041,518.947,1,3,7
101,TechnicolorHijack,50,2,3,26.6096,0.019830664082423746,333.302,1,4,5
102,TechnicolorHijack,50,2,3,26.6096,0.012770446509650868,517.57,1,4,6
103,TechnicolorHijack,50,2,3,26.6096,0.012736560766321032,518.947,1,4,7
104,TechnicolorHijack,50,2,3,26.6,0.012751898293950579,517.57,1,5,6
105,TechnicolorHijack,50,2,3,26.6,0.012718061767386653,518.947,1,5,7
106,TechnicolorHijack,50,2,3,26.5237,0.012571033265439442,518.947,1,6,7
107,TechnicolorHijack,50,2,3,25.1438,0.017786184051285948,289.202,2,3,4
108,TechnicolorHijack,50,2,3,25.1438,0.015432850687964664,333.302,2,3,5
109,TechnicolorHijack,50,2,3,25.1438,0.009938365824912568,517.57,2,3,6
110,TechnicolorHijack,50,2,3,25.1438,0.009911994866527793,518.947,2,3,7
111,TechnicolorHijack,50,2,3,26.6576,0.019974677619696245,333.302,2,4,5
112,TechnicolorHijack,50,2,3,26.6576,0.012863187588152324,517.57,2,4,6
113,TechnicolorHijack,50,2,3,26.6576,0.01282905576099293,518.947,2,4,7
114,TechnicolorHijack,50,2,3,26.6479,0.012844446161871822,517.57,2,5,6
115,TechnicolorHijack,50,2,3,26.6479,0.012810364064152986,518.947,2,5,7
116,TechnicolorHijack,50,2,3,26.5672,0.012654856854360848,518.947,2,6,7
117,TechnicolorHijack,50,2,3,27.1582,0.021476618802167405,333.302,3,4,5
118,TechnicolorHijack,50,2,3,27.1582,0.013830399752690457,517.57,3,4,6
119,TechnicolorHijack,50,2,3,27.1582,0.013793701476258656,518.947,3,4,7
120,TechnicolorHijack,50,2,3,27.1558,0.013825762698765382,517.57,3,5,6
121,TechnicolorHijack,50,2,3,27.1558,0.013789076726525058,518.947,3,5,7
122,TechnicolorHijack,50,2,3,27.1924,0.013859604159962385,518.947,3,6,7
123,TechnicolorHijack,50,2,3,26.7413,0.013024904843789242,517.57,4,5,6
124,TechnicolorHijack,50,2,3,26.7413,0.012990343907952062,518.947,4,5,7
