,Dataset,Frame,Synthesized View,X.passes,WS.PSNR,CEL,theo_time,p1,p2,p3
1,TechnicolorMuseum,50,1,1,18.5183,-0.08650747314339094,17.128,1,0,0
2,TechnicolorMuseum,50,1,1,17.8088,-0.10744336569579281,20.394,2,0,0
3,TechnicolorMuseum,50,1,1,17.8441,-0.029038036743709916,74.244,3,0,0
4,TechnicolorMuseum,50,1,1,17.8448,-0.0209600871391893,102.824,4,0,0
5,TechnicolorMuseum,50,1,1,17.9144,-0.01789861229113565,116.523,5,0,0
6,TechnicolorMuseum,50,1,1,17.9805,-0.012629610636514872,159.902,6,0,0
7,TechnicolorMuseum,50,1,1,17.9805,-0.012667557378797292,159.423,7,0,0
8,TechnicolorMuseum,50,1,2,18.6334,-0.06700990487398246,20.394,1,2,0
9,TechnicolorMuseum,50,1,2,18.6492,-0.018194062819891162,74.244,1,3,0
10,TechnicolorMuseum,50,1,2,18.6477,-0.013151598848517852,102.824,1,4,0
11,TechnicolorMuseum,50,1,2,18.7849,-0.010427984174798106,116.523,1,5,0
12,TechnicolorMuseum,50,1,2,18.8157,-0.007406411426999039,159.902,1,6,0
13,TechnicolorMuseum,50,1,2,18.8157,-0.0074286646217923405,159.423,1,7,0
14,TechnicolorMuseum,50,1,2,17.8247,-0.02929933732018749,74.244,2,3,0
15,TechnicolorMuseum,50,1,2,17.8237,-0.02116529214969269,102.824,2,4,0
16,TechnicolorMuseum,50,1,2,17.8825,-0.018172377985462097,116.523,2,5,0
17,TechnicolorMuseum,50,1,2,17.8957,-0.01315993546046953,159.902,2,6,0
18,TechnicolorMuseum,50,1,2,17.8957,-0.01319947560891464,159.423,2,7,0
19,TechnicolorMuseum,50,1,2,17.8423,-0.02098440052905935,102.824,3,4,0
20,TechnicolorMuseum,50,1,2,17.9025,-0.018000738051715114,116.523,3,5,0
21,TechnicolorMuseum,50,1,2,17.9158,-0.013034233467999146,159.902,3,6,0
22,TechnicolorMuseum,50,1,2,17.9158,-0.013073395934087297,159.423,3,7,0
23,TechnicolorMuseum,50,1,2,17.9048,-0.017980999459334197,116.523,4,5,0
24,TechnicolorMuseum,50,1,2,17.918,-0.013020475040962595,159.902,4,6,0
25,TechnicolorMuseum,50,1,2,17.918,-0.013059596168683319,159.423,4,7,0
26,TechnicolorMuseum,50,1,2,17.9277,-0.012959812885392294,159.902,5,6,0
27,TechnicolorMuseum,50,1,2,17.9277,-0.012998751748492993,159.423,5,7,0
28,TechnicolorMuseum,50,1,2,17.9805,-0.012667557378797292,159.423,6,7,0
29,TechnicolorMuseum,50,1,3,18.6334,-0.018406874629599675,74.244,1,2,3
30,TechnicolorMuseum,50,1,3,18.6334,-0.013290671438574635,102.824,1,2,4
31,TechnicolorMuseum,50,1,3,18.6334,-0.011728156672931509,116.523,1,2,5
32,TechnicolorMuseum,50,1,3,18.6334,-0.008546484721892149,159.902,1,2,6
33,TechnicolorMuseum,50,1,3,18.6334,-0.00857216336413189,159.423,1,2,7
34,TechnicolorMuseum,50,1,3,18.6492,-0.01313701081459581,102.824,1,3,4
35,TechnicolorMuseum,50,1,3,18.6492,-0.011592561125271402,116.523,1,3,5
36,TechnicolorMuseum,50,1,3,18.6492,-0.008447674200447772,159.902,1,3,6
37,TechnicolorMuseum,50,1,3,18.6492,-0.00847305595804871,159.423,1,3,7
38,TechnicolorMuseum,50,1,3,18.6477,-0.011605434120302427,116.523,1,4,5
39,TechnicolorMuseum,50,1,3,18.6477,-0.008457054946154518,159.902,1,4,6
40,TechnicolorMuseum,50,1,3,18.6477,-0.008482464889005975,159.423,1,4,7
41,TechnicolorMuseum,50,1,3,18.7849,-0.007599029405510873,159.902,1,5,6
42,TechnicolorMuseum,50,1,3,18.7849,-0.00762186133744817,159.423,1,5,7
43,TechnicolorMuseum,50,1,3,18.8157,-0.0074286646217923405,159.423,1,6,7
44,TechnicolorMuseum,50,1,3,17.8247,-0.02115556679374465,102.824,2,3,4
45,TechnicolorMuseum,50,1,3,17.8247,-0.018668417393990888,116.523,2,3,5
46,TechnicolorMuseum,50,1,3,17.8247,-0.013603957423922154,159.902,2,3,6
47,TechnicolorMuseum,50,1,3,17.8247,-0.013644831674225175,159.423,2,3,7
48,TechnicolorMuseum,50,1,3,17.8237,-0.018676999390678246,116.523,2,4,5
49,TechnicolorMuseum,50,1,3,17.8237,-0.013610211254393325,159.902,2,4,6
50,TechnicolorMuseum,50,1,3,17.8237,-0.013651104294863358,159.423,2,4,7
51,TechnicolorMuseum,50,1,3,17.8825,-0.013242486022688897,159.902,2,5,6
52,TechnicolorMuseum,50,1,3,17.8825,-0.013282274201338574,159.423,2,5,7
53,TechnicolorMuseum,50,1,3,17.8957,-0.01319947560891464,159.423,2,6,7
54,TechnicolorMuseum,50,1,3,17.8423,-0.018517374252293526,116.523,3,4,5
55,TechnicolorMuseum,50,1,3,17.8423,-0.013493890007629664,159.902,3,4,6
56,TechnicolorMuseum,50,1,3,17.8423,-0.01353443355099326,159.423,3,4,7
57,TechnicolorMuseum,50,1,3,17.9025,-0.013117409413265627,159.902,3,5,6
58,TechnicolorMuseum,50,1,3,17.9025,-0.01315682178857505,159.423,3,5,7
59,TechnicolorMuseum,50,1,3,17.9158,-0.013073395934087297,159.423,3,6,7
60,TechnicolorMuseum,50,1,3,17.9048,-0.01310302560318194,159.902,4,5,6
61,TechnicolorMuseum,50,1,3,17.9048,-0.013142394761107233,159.423,4,5,7
62,TechnicolorMuseum,50,1,3,17.918,-0.013059596168683319,159.423,4,6,7
63,TechnicolorMuseum,50,1,3,17.9277,-0.012998751748492993,159.423,5,6,7
64,TechnicolorMuseum,50,2,1,18.0034,-0.1165693601120972,17.128,1,0,0
65,TechnicolorMuseum,50,2,1,19.0942,-0.04441502402667448,20.394,2,0,0
66,TechnicolorMuseum,50,2,1,19.2026,-0.010740261839340548,74.244,3,0,0
67,TechnicolorMuseum,50,2,1,19.1989,-0.0077909826499650055,102.824,4,0,0
68,TechnicolorMuseum,50,2,1,19.4779,-0.004480660470465044,116.523,5,0,0
69,TechnicolorMuseum,50,2,1,19.6044,-0.0024740153343923263,159.902,6,0,0
70,TechnicolorMuseum,50,2,1,19.6044,-0.002481448724462604,159.423,7,0,0
71,TechnicolorMuseum,50,2,2,18.9285,-0.05253996273413751,20.394,1,2,0
72,TechnicolorMuseum,50,2,2,18.9985,-0.013489305533107053,74.244,1,3,0
73,TechnicolorMuseum,50,2,2,18.997,-0.009754532015871783,102.824,1,4,0
74,TechnicolorMuseum,50,2,2,19.3294,-0.005755086978536429,116.523,1,5,0
75,TechnicolorMuseum,50,2,2,19.3604,-0.00399994996935624,159.902,1,6,0
76,TechnicolorMuseum,50,2,2,19.3604,-0.00401196816017765,159.423,1,7,0
77,TechnicolorMuseum,50,2,2,19.1653,-0.011242659339475264,74.244,2,3,0
78,TechnicolorMuseum,50,2,2,19.1647,-0.008123589823387537,102.824,2,4,0
79,TechnicolorMuseum,50,2,2,19.4238,-0.004944946491250655,116.523,2,5,0
80,TechnicolorMuseum,50,2,2,19.4551,-0.003407712223737029,159.902,2,6,0
81,TechnicolorMuseum,50,2,2,19.4551,-0.003417950985742323,159.423,2,7,0
82,TechnicolorMuseum,50,2,2,19.202,-0.007760834046526086,102.824,3,4,0
83,TechnicolorMuseum,50,2,2,19.4629,-0.0046093904207752875,116.523,3,5,0
84,TechnicolorMuseum,50,2,2,19.4945,-0.0031613113031732027,159.902,3,6,0
85,TechnicolorMuseum,50,2,2,19.4945,-0.003170809732598191,159.423,3,7,0
86,TechnicolorMuseum,50,2,2,19.4587,-0.004645434806862162,116.523,4,5,0
87,TechnicolorMuseum,50,2,2,19.4902,-0.0031882027741991876,159.902,4,6,0
88,TechnicolorMuseum,50,2,2,19.4902,-0.0031977820013423313,159.423,4,7,0
89,TechnicolorMuseum,50,2,2,19.5096,-0.0030668784630586304,159.902,5,6,0
90,TechnicolorMuseum,50,2,2,19.5096,-0.0030760931609617246,159.423,5,7,0
91,TechnicolorMuseum,50,2,2,19.6044,-0.002481448724462604,159.423,6,7,0
92,TechnicolorMuseum,50,2,3,18.9285,-0.01443214266472712,74.244,1,2,3
93,TechnicolorMuseum,50,2,3,18.9285,-0.010420718898311681,102.824,1,2,4
94,TechnicolorMuseum,50,2,3,18.9285,-0.009195609450494755,116.523,1,2,5
95,TechnicolorMuseum,50,2,3,18.9285,-0.006700979349851787,159.902,1,2,6
96,TechnicolorMuseum,50,2,3,18.9285,-0.00672111301380604,159.423,1,2,7
97,TechnicolorMuseum,50,2,3,18.9985,-0.00973994398194974,102.824,1,3,4
98,TechnicolorMuseum,50,2,3,18.9985,-0.008594869682380303,116.523,1,3,5
99,TechnicolorMuseum,50,2,3,18.9985,-0.006263211216870334,159.902,1,3,6
100,TechnicolorMuseum,50,2,3,18.9985,-0.006282029569133689,159.423,1,3,7
101,TechnicolorMuseum,50,2,3,18.997,-0.008607742677411328,116.523,1,4,5
102,TechnicolorMuseum,50,2,3,18.997,-0.00627259196257708,159.902,1,4,6
103,TechnicolorMuseum,50,2,3,18.997,-0.006291438500090954,159.423,1,4,7
104,TechnicolorMuseum,50,2,3,19.3294,-0.004193818713962304,159.902,1,5,6
105,TechnicolorMuseum,50,2,3,19.3294,-0.004206419399961111,159.423,1,5,7
106,TechnicolorMuseum,50,2,3,19.3604,-0.00401196816017765,159.423,1,6,7
107,TechnicolorMuseum,50,2,3,19.1653,-0.008117754609818735,102.824,2,3,4
108,TechnicolorMuseum,50,2,3,19.1653,-0.0071633926349304565,116.523,2,3,5
109,TechnicolorMuseum,50,2,3,19.1653,-0.0052200722942802565,159.902,2,3,6
110,TechnicolorMuseum,50,2,3,19.1653,-0.005235756446685871,159.423,2,3,7
111,TechnicolorMuseum,50,2,3,19.1647,-0.007168541832942854,116.523,2,4,5
112,TechnicolorMuseum,50,2,3,19.1647,-0.005223824592562946,159.902,2,4,6
113,TechnicolorMuseum,50,2,3,19.1647,-0.0052395200190687675,159.423,2,4,7
114,TechnicolorMuseum,50,2,3,19.4238,-0.0036034571174844597,159.902,2,5,6
115,TechnicolorMuseum,50,2,3,19.4238,-0.003614284011717256,159.423,2,5,7
116,TechnicolorMuseum,50,2,3,19.4551,-0.003417950985742323,159.423,2,6,7
117,TechnicolorMuseum,50,2,3,19.202,-0.0068484333565047096,116.523,3,4,5
118,TechnicolorMuseum,50,2,3,19.202,-0.0049905567159885325,159.902,3,4,6
119,TechnicolorMuseum,50,2,3,19.202,-0.005005551269264775,159.423,3,4,7
120,TechnicolorMuseum,50,2,3,19.4629,-0.003358932346061956,159.902,3,5,6
121,TechnicolorMuseum,50,2,3,19.4629,-0.0033690245447645494,159.423,3,5,7
122,TechnicolorMuseum,50,2,3,19.4945,-0.003170809732598191,159.423,3,6,7
123,TechnicolorMuseum,50,2,3,19.4587,-0.0033851984340408483,159.902,4,5,6
124,TechnicolorMuseum,50,2,3,19.4587,-0.003395369551444896,159.423,4,5,7
125,TechnicolorMuseum,50,2,3,19.4902,-0.0031977820013423313,159.423,4,6,7
126,TechnicolorMuseum,50,2,3,19.5096,-0.0030760931609617246,159.423,5,6,7
127,TechnicolorMuseum,50,3,1,18.4122,-0.0927020084072864,17.128,1,0,0
128,TechnicolorMuseum,50,3,1,17.9497,-0.10053447092282045,20.394,2,0,0
129,TechnicolorMuseum,50,3,1,17.9301,-0.027879693982005287,74.244,3,0,0
130,TechnicolorMuseum,50,3,1,17.9088,-0.020337664358515528,102.824,4,0,0
131,TechnicolorMuseum,50,3,1,19.1258,-0.007502381504080725,116.523,5,0,0
132,TechnicolorMuseum,50,3,1,19.2704,-0.004562794711760962,159.902,6,0,0
133,TechnicolorMuseum,50,3,1,19.2704,-0.004576504017613527,159.423,7,0,0
134,TechnicolorMuseum,50,3,2,17.9487,-0.10058350495243706,20.394,1,2,0
135,TechnicolorMuseum,50,3,2,17.9275,-0.027914713646894046,74.244,1,3,0
136,TechnicolorMuseum,50,3,2,17.9058,-0.02036684042635961,102.824,1,4,0
137,TechnicolorMuseum,50,3,2,19.0769,-0.007922041142092133,116.523,1,5,0
138,TechnicolorMuseum,50,3,2,19.1129,-0.00554777301096922,159.902,1,6,0
139,TechnicolorMuseum,50,3,2,19.1129,-0.005564441768126307,159.423,1,7,0
140,TechnicolorMuseum,50,3,2,17.9271,-0.02792010128764615,74.244,2,3,0
141,TechnicolorMuseum,50,3,2,17.9047,-0.02037753831790245,102.824,2,4,0
142,TechnicolorMuseum,50,3,2,19.0893,-0.007815624383168976,116.523,2,5,0
143,TechnicolorMuseum,50,3,2,19.123,-0.00548460932321046,159.902,2,6,0
144,TechnicolorMuseum,50,3,2,19.123,-0.005501088299680716,159.423,2,7,0
145,TechnicolorMuseum,50,3,2,17.9076,-0.020349334785653168,102.824,3,4,0
146,TechnicolorMuseum,50,3,2,19.0918,-0.007794169391450622,116.523,3,5,0
147,TechnicolorMuseum,50,3,2,19.1256,-0.00546834936398545,159.902,3,6,0
148,TechnicolorMuseum,50,3,2,19.1256,-0.0054847794860214735,159.423,3,7,0
149,TechnicolorMuseum,50,3,2,19.0907,-0.007803609587806714,116.523,4,5,0
150,TechnicolorMuseum,50,3,2,19.1244,-0.005475853960550829,159.902,4,6,0
151,TechnicolorMuseum,50,3,2,19.1244,-0.005492306630787268,159.423,4,7,0
152,TechnicolorMuseum,50,3,2,19.1598,-0.005254468361871643,159.902,5,6,0
153,TechnicolorMuseum,50,3,2,19.1598,-0.0052702558601958275,159.423,5,7,0
154,TechnicolorMuseum,50,3,2,19.2704,-0.004576504017613527,159.423,6,7,0
155,TechnicolorMuseum,50,3,3,17.9487,-0.027629168687031965,74.244,1,2,3
156,TechnicolorMuseum,50,3,3,17.9487,-0.019949622656189228,102.824,1,2,4
157,TechnicolorMuseum,50,3,3,17.9487,-0.017604249804759588,116.523,1,2,5
158,TechnicolorMuseum,50,3,3,17.9487,-0.012828482445497877,159.902,1,2,6
159,TechnicolorMuseum,50,3,3,17.9487,-0.012867026715091306,159.423,1,2,7
160,TechnicolorMuseum,50,3,3,17.9275,-0.02015580020228742,102.824,1,3,4
161,TechnicolorMuseum,50,3,3,17.9275,-0.017786188134531394,116.523,1,3,5
162,TechnicolorMuseum,50,3,3,17.9275,-0.012961063651486547,159.902,1,3,6
163,TechnicolorMuseum,50,3,3,17.9275,-0.013000006272620648,159.423,1,3,7
164,TechnicolorMuseum,50,3,3,17.9058,-0.017972417462646866,116.523,1,4,5
165,TechnicolorMuseum,50,3,3,17.9058,-0.013096771772710791,159.902,1,4,6
166,TechnicolorMuseum,50,3,3,17.9058,-0.01313612214046907,159.423,1,4,7
167,TechnicolorMuseum,50,3,3,19.0769,-0.005772910907931118,159.902,1,5,6
168,TechnicolorMuseum,50,3,3,19.0769,-0.0057902561111006666,159.423,1,5,7
169,TechnicolorMuseum,50,3,3,19.1129,-0.005564441768126307,159.423,1,6,7
170,TechnicolorMuseum,50,3,3,17.9271,-0.020159690344666623,102.824,2,3,4
171,TechnicolorMuseum,50,3,3,17.9271,-0.017789620933206327,116.523,2,3,5
172,TechnicolorMuseum,50,3,3,17.9271,-0.012963565183675006,159.902,2,3,6
173,TechnicolorMuseum,50,3,3,17.9271,-0.013002515320875912,159.423,2,3,7
174,TechnicolorMuseum,50,3,3,17.9047,-0.01798185765900296,116.523,2,4,5
175,TechnicolorMuseum,50,3,3,17.9047,-0.013103650986229077,159.902,2,4,6
176,TechnicolorMuseum,50,3,3,17.9047,-0.013143022023171072,159.423,2,4,7
177,TechnicolorMuseum,50,3,3,19.0893,-0.005695363410088671,159.902,2,5,6
178,TechnicolorMuseum,50,3,3,19.0893,-0.0057124756151872595,159.423,2,5,7
179,TechnicolorMuseum,50,3,3,19.123,-0.005501088299680716,159.423,2,6,7
180,TechnicolorMuseum,50,3,3,17.9076,-0.017956969868609642,116.523,3,4,5
181,TechnicolorMuseum,50,3,3,17.9076,-0.0130855148778627,159.902,3,4,6
182,TechnicolorMuseum,50,3,3,17.9076,-0.013124831423320358,159.423,3,4,7
183,TechnicolorMuseum,50,3,3,19.0918,-0.005679728833910776,159.902,3,5,6
184,TechnicolorMuseum,50,3,3,19.0918,-0.005696794063591833,159.423,3,5,7
